;Code;Gender;Age;Mobile;Trial_number;Angle;Step_Angle;Area1;Area2;Area3;n3SquareOrCircle;BiggerCircleOrSquare;PosBig;StimVal;StimVal3;Nalternativas;RT_type1;Response;Correct;Confidence;RT_Confidence;Nsujeto;binary_correct
43;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;43;165,147,575,449,969;20,943,951,023,932;493,246,006,592,071;468,583,706,262,467;937,167,412,524,935;1;2;2;0,95;0,2;3;1992;2;TRUE;0,211484647264668;2146;1;1
44;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;44;202,811,260,275,146;20,943,951,023,932;8,578,016,780,414;60,046,117,462,898;120,092,234,925,796;2;1;1;0,7;0,2;3;2406;1;TRUE;0,0378151313931334;2030;1;1
45;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;45;0,0965751626835335;20,943,951,023,932;753,684,514,647,837;602,947,611,718,269;301,473,805,859,135;1;2;2;0,8;0,5;3;3862;2;TRUE;0,0154061784931258;2778;1;1
46;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;46;180,098,985,540,343;-20,943,951,023,932;709,322,201,628,163;659,669,647,514,192;329,834,823,757,096;0;2;2;0,93;0;2;2120;2;TRUE;0,00140062967936198;2880;1;1
47;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;47;0,6130770000989;-20,943,951,023,932;680,289,974,465,345;544,231,979,572,276;163,269,593,871,683;0;2;2;0,8;0;2;2036;2;TRUE;0,0658263412176394;1901;1;1
48;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;48;350,486,789,058,177;-20,943,951,023,932;55,986,362,576,701;53,187,044,447,866;106,374,088,895,732;0;1;1;0,95;0;2;1993;1;TRUE;0,0630252314548866;1725;1;1
49;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;49;126,884,743,841,316;-20,943,951,023,932;823,168,227,316,244;658,534,581,852,995;131,706,916,370,599;0;2;2;0,8;0;2;1815;2;TRUE;0,21428575702742;2101;1;1
50;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;50;138,927,833,680,247;-20,943,951,023,932;794,980,612,715,689;71,548,255,144,412;143,096,510,288,824;1;2;2;0,9;0,2;3;5142;2;TRUE;1;3614;1;1
51;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;51;281,525,111,578,393;-20,943,951,023,932;696,548,610,317,812;55,723,888,825,425;167,171,666,476,275;1;1;1;0,8;0,3;3;8439;2;FALSE;0,0434173883176317;1407;1;0
52;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;52;543,850,031,438,604;-20,943,951,023,932;910,102,518,894,857;6,370,717,632,264;3,185,358,816,132;2;2;2;0,7;0,5;3;1886;2;TRUE;0,460784463321461;1053;1;1
53;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;53;388,767,216,625,108;20,943,951,023,932;565,157,875,145,138;395,610,512,601,597;791,221,025,203,193;0;1;1;0,7;0;2;1876;1;TRUE;0,729691898121553;1199;1;1
54;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;54;250,387,994,309,353;20,943,951,023,932;478,356,654,630,089;382,685,323,704,072;153,074,129,481,629;2;2;2;0,8;0,4;3;1865;2;TRUE;0,401960933909697;882;1;1
55;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;55;267,862,462,339,781;-20,943,951,023,932;805,704,461,565,299;563,993,123,095,709;112,798,624,619,142;0;2;2;0,7;0;2;1908;2;TRUE;0,715686424105775;1205;1;1
56;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;56;0,889792357595791;20,943,951,023,932;762,418,548,926,887;709,049,250,502,005;425,429,550,301,203;1;1;1;0,93;0,6;3;2248;1;TRUE;0,105042027492149;841;1;1
57;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;57;246,520,742,663,138;20,943,951,023,932;786,042,402,625,937;731,019,434,442,121;731,019,434,442,121;0;1;1;0,93;0;2;2282;2;FALSE;0,0966387356028837;1018;1;0
58;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;58;241,808,757,025,008;-20,943,951,023,932;838,492,528,111,437;779,798,051,143,637;155,959,610,228,727;0;2;2;0,93;0;2;1982;2;TRUE;0,0826330745921415;2910;1;1
59;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;59;291,791,626,943,648;20,943,951,023,932;962,388,232,548,463;91,426,882,092,104;45,713,441,046,052;0;1;1;0,95;0;2;1755;1;TRUE;0,121848760866651;3108;1;1
60;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;60;510,648,066,090,399;-20,943,951,023,932;854,910,719,330,682;683,928,575,464,545;410,357,145,278,727;2;2;2;0,8;0,6;3;1780;2;TRUE;0,547619090360754;3412;1;1
61;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;61;559,312,645,254,298;-20,943,951,023,932;491,597,466,570,997;393,277,973,256,797;117,983,391,977,039;2;2;2;0,8;0,3;3;2239;2;TRUE;0,0322129492666207;2142;1;1
62;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;62;35,649,701,395,023;-20,943,951,023,932;798,357,312,453,038;638,685,849,962,431;255,474,339,984,972;1;1;1;0,8;0,4;3;2877;2;FALSE;0,0686275257783778;2390;1;0
63;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;63;578,658,788,493,295;20,943,951,023,932;59,963,247,563,714;479,705,980,509,712;959,411,961,019,424;2;2;2;0,8;0,2;3;2048;2;TRUE;0,0938375510421454;2464;1;1
64;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;64;560,150,282,046,067;20,943,951,023,932;540,437,743,623,183;432,350,194,898,547;172,940,077,959,419;0;1;1;0,8;0;2;1880;1;TRUE;0,130252164952895;9756;1;1
65;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;65;331,964,055,907,613;20,943,951,023,932;490,080,544,656,389;44,107,249,019,075;220,536,245,095,375;0;2;2;0,9;0;2;3575;2;TRUE;0,0462184980803845;2398;1;1
66;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;66;342,242,798,252,151;-20,943,951,023,932;781,228,178,549,259;703,105,360,694,333;2,109,316,082,083;2;1;1;0,9;0,3;3;2935;1;TRUE;0,0406163159538718;1803;1;1
67;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;67;419,558,074,496,629;20,943,951,023,932;562,231,546,538,429;3,935,620,825,769;15,742,483,303,076;0;1;1;0,7;0;2;1891;1;TRUE;0,390756345262714;4282;1;1
68;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;68;190,061,754,474,032;-20,943,951,023,932;841,240,990,272,457;757,116,891,245,211;378,558,445,622,606;0;1;1;0,9;0;2;2778;2;FALSE;0,0518207924038756;2738;1;0
69;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;69;207,836,426,599,894;-20,943,951,023,932;693,768,061,822,863;485,637,643,276,004;291,382,585,965,603;0;2;2;0,7;0;2;1603;2;TRUE;0,228291455437155;1928;1;1
70;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;70;0,675962073466358;-20,943,951,023,932;415,658,631,433,751;290,961,042,003,626;11,638,441,680,145;2;1;1;0,7;0,4;3;1736;1;TRUE;0,0518207924038756;1984;1;1
71;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;71;562,186,294,484,115;-20,943,951,023,932;664,008,324,936,031;597,607,492,442,428;358,564,495,465,457;2;1;1;0,9;0,6;3;2559;1;TRUE;0,0322129492666207;1742;1;1
72;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;72;458,907,242,591,611;-20,943,951,023,932;807,261,557,612,984;726,535,401,851,685;290,614,160,740,674;2;2;2;0,9;0,4;3;1881;1;FALSE;0,0882353689156327;1223;1;0
73;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;73;548,333,060,000,397;-20,943,951,023,932;618,183,027,043,147;432,728,118,930,203;129,818,435,679,061;2;1;1;0,7;0,3;3;1138;1;TRUE;0,432773141299977;5263;1;1
74;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;74;113,938,368,002,746;-20,943,951,023,932;686,650,075,301,156;652,317,571,536,098;326,158,785,768,049;1;2;2;0,95;0,5;3;1809;2;TRUE;0,217086941588159;2540;1;1
75;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;75;365,713,133,859,916;20,943,951,023,932;858,784,949,931,364;815,845,702,434,796;489,507,421,460,878;0;2;2;0,95;0;2;2407;2;TRUE;0,0658263412176394;5883;1;1
76;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;76;0,366424506680386;20,943,951,023,932;295,163,567,759,254;274,502,118,016,106;274,502,118,016,106;0;2;2;0,93;0;2;2167;2;TRUE;0,0462184980803845;5144;1;1
77;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;77;307,092,815,774,331;20,943,951,023,932;486,167,974,681,086;45,213,621,645,341;45,213,621,645,341;2;2;2;0,93;0,1;3;1914;2;TRUE;0,105042027492149;4505;1;1
78;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;78;41,009,092,804,486;20,943,951,023,932;580,881,223,326,792;551,837,162,160,452;551,837,162,160,452;1;1;1;0,95;0,1;3;3127;2;FALSE;0,0462184980803845;3631;1;0
79;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;79;500,031,987,210,598;20,943,951,023,932;7,146,167,976,125;50,023,175,832,875;150,069,527,498,625;0;2;2;0,7;0;2;1759;2;TRUE;0,303921568627451;3190;1;1
80;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;80;274,292,588,870,579;20,943,951,023,932;983,780,050,347,592;934,591,047,830,212;373,836,419,132,085;0;2;2;0,95;0;2;2897;2;TRUE;0,0378151313931334;3200;1;1
81;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;81;262,448,527,113,271;-20,943,951,023,932;886,093,459,817,014;841,788,786,826,164;336,715,514,730,465;1;1;1;0,95;0,4;3;2712;1;TRUE;0,0462184980803845;2544;1;1
82;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;82;428,278,796,626,198;-20,943,951,023,932;367,094,998,172,641;293,675,998,538,113;146,837,999,269,056;1;1;1;0,8;0,5;3;4467;1;TRUE;0,0154061784931258;3131;1;1
83;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;83;0,660879971830929;20,943,951,023,932;989,058,879,772,057;69,234,121,584,044;69,234,121,584,044;0;1;1;0,7;0;2;1934;1;TRUE;0,222689086315679;2580;1;1
84;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;84;0,58107081266789;20,943,951,023,932;505,912,036,825,505;404,729,629,460,404;202,364,814,730,202;0;1;1;0,8;0;2;2039;1;TRUE;0,217086941588159;2348;1;1
85;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;85;526,561,151,224,582;-20,943,951,023,932;672,453,336,243,832;605,208,002,619,449;12,104,160,052,389;2;1;1;0,9;0,2;3;2642;1;TRUE;0,141456604003906;1633;1;1
86;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;86;0,209809131189374;-20,943,951,023,932;75,656,106,429,118;680,904,957,862,062;204,271,487,358,619;0;1;1;0,9;0;2;1805;1;TRUE;0,219887976552926;2464;1;1
