subject,session,run,block,trial_in_block,n_options,dominant_label,alternative_label,excluded_label,response,correct,rt,prop_dominant_dots,dir1_deg,dir2_deg,dir3_deg
1,1,2,1,20,2,3,,,3,1,0.4564,0.55,170.877,290.877,50.877
1,1,2,1,21,2,2,,,3,0,1.3201,0.55,323.449,83.449,203.449
1,1,2,1,22,2,2,,,2,1,0.7079,0.55,185.701,305.701,65.701
1,1,2,1,23,2,2,,,2,1,0.8406,0.55,231.887,351.887,111.887
1,1,2,1,24,2,1,,,1,1,0.4561,0.55,155.617,275.617,35.617
1,1,2,1,25,2,3,,,3,1,0.5031,0.55,160.265,280.265,40.265
1,1,2,1,26,2,1,,,1,1,0.8198,0.55,323.384,83.384,203.384
1,1,2,1,27,2,1,,,2,0,0.4355,0.55,12.205,132.205,252.205
1,1,2,1,28,2,1,,,1,1,0.6285,0.55,230.195,350.195,110.195
1,1,2,1,29,2,3,,,3,1,0.556,0.55,196.412,316.412,76.412
1,1,2,1,30,2,1,,,1,1,0.4388,0.55,166.262,286.262,46.262
1,1,2,1,31,2,2,,,2,1,0.7425,0.55,276.338,36.338,156.338
1,1,2,1,32,2,2,,,2,1,0.4272,0.55,136.774,256.774,16.774
1,1,2,1,33,2,2,,,2,1,0.971,0.55,337.942,97.942,217.942
1,1,2,1,34,2,2,,,2,1,0.8536,0.55,264.408,24.408,144.408
1,1,2,1,35,2,1,,,1,1,0.7403,0.55,314.133,74.133,194.133
1,1,2,1,36,2,1,,,1,1,0.7588,0.55,229.991,349.991,109.991
1,1,2,1,37,2,3,,,2,0,0.4909,0.55,50.993,170.993,290.993
1,1,2,1,38,2,1,,,1,1,0.5193,0.55,119.036,239.036,359.036
1,1,2,1,39,2,2,,,3,0,0.5636,0.55,344.976,104.976,224.976
1,1,2,1,40,2,2,,,3,0,0.4462,0.55,356.688,116.688,236.688
1,1,2,1,41,2,1,,,2,0,0.4146,0.55,10.55,130.55,250.55
1,1,2,1,42,2,3,,,3,1,0.7669,0.55,205.269,325.269,85.269
1,1,2,1,43,2,2,,,2,1,0.4661,0.55,149.705,269.705,29.705
1,1,2,1,44,2,2,,,2,1,0.3695,0.55,175.593,295.593,55.593
1,1,2,1,45,2,1,,,3,0,0.644,0.55,342.633,102.633,222.633
1,1,2,1,46,2,3,,,3,1,0.523,0.55,102.745,222.745,342.745
1,1,2,1,47,2,1,,,3,0,0.4717,0.55,34.059,154.059,274.059
1,1,2,1,48,2,3,,,3,1,0.3427,0.55,169.21,289.21,49.21
1,1,2,1,49,2,3,,,3,1,0.8582,0.55,244.681,4.681,124.681
1,1,2,1,50,2,3,,,3,1,0.4093,0.55,153.56,273.56,33.56
1,1,2,2,1,3,2,,,3,0,0.0008,0.55,330.844,90.844,210.844
1,1,2,2,2,3,2,,,1,0,0.5103,0.55,295.198,55.198,175.198
1,1,2,2,3,3,2,,,2,1,0.394,0.55,183.06,303.06,63.06
1,1,2,2,4,3,3,,,3,1,0.364,0.55,114.414,234.414,354.414
1,1,2,2,5,3,1,,,1,1,0.3999,0.55,47.854,167.854,287.854
1,1,2,2,6,3,2,,,3,0,0.465,0.55,281.996,41.996,161.996
1,1,2,2,7,3,2,,,1,0,0.4795,0.55,43.823,163.823,283.823
1,1,2,2,8,3,3,,,3,1,0.5098,0.55,63.594,183.594,303.594
1,1,2,2,9,3,1,,,1,1,0.4115,0.55,44.905,164.905,284.905
1,1,2,2,10,3,1,,,3,0,0.5559,0.55,247.359,7.359,127.359
1,1,2,2,11,3,1,,,1,1,0.391,0.55,158.663,278.663,38.663
1,1,2,2,12,3,2,,,3,0,0.728,0.55,285.61,45.61,165.61
1,1,2,2,13,3,2,,,2,1,0.5252,0.55,143.663,263.663,23.663
1,1,2,2,14,3,2,,,3,0,0.9219,0.55,300.623,60.623,180.623
1,1,2,2,15,3,3,,,3,1,0.4693,0.55,13.894,133.894,253.894
1,1,2,2,16,3,2,,,2,1,0.7565,0.55,307.512,67.512,187.512
1,1,2,2,17,3,2,,,1,0,0.567,0.55,46.25,166.25,286.25
1,1,2,2,18,3,1,,,3,0,0.7373,0.55,238.768,358.768,118.768
1,1,2,2,19,3,2,,,1,0,0.4208,0.55,341.776,101.776,221.776
1,1,2,2,20,3,3,,,3,1,0.533,0.55,103.4,223.4,343.4
1,1,2,2,21,3,1,,,1,1,0.3846,0.55,62.419,182.419,302.419
1,1,2,2,22,3,2,,,1,0,0.4183,0.55,304.945,64.945,184.945
1,1,2,2,23,3,1,,,1,1,0.4025,0.55,141.355,261.355,21.355
1,1,2,2,24,3,3,,,2,0,0.5805,0.55,154.582,274.582,34.582
1,1,2,2,25,3,1,,,3,0,0.7673,0.55,329.908,89.908,209.908
1,1,2,2,26,3,3,,,2,0,0.482,0.55,326.024,86.024,206.024
1,1,2,2,27,3,1,,,3,0,0.4642,0.55,10.201,130.201,250.201
1,1,2,2,28,3,1,,,3,0,0.5103,0.55,299.182,59.182,179.182
1,1,2,2,29,3,1,,,1,1,0.4121,0.55,44.144,164.144,284.144
1,1,2,2,30,3,2,,,1,0,1.1489,0.55,271.537,31.537,151.537
1,1,2,2,31,3,2,,,2,1,0.4953,0.55,53.622,173.622,293.622
1,1,2,2,32,3,1,,,1,1,0.3172,0.55,168.914,288.914,48.914
1,1,2,2,33,3,1,,,3,0,0.5784,0.55,342.866,102.866,222.866
1,1,2,2,34,3,2,,,2,1,0.4439,0.55,83.24,203.24,323.24
1,1,2,2,35,3,1,,,1,1,0.3646,0.55,131.928,251.928,11.928
1,1,2,2,36,3,3,,,2,0,0.735,0.55,286.213,46.213,166.213
1,1,2,2,37,3,3,,,2,0,0.4176,0.55,175.044,295.044,55.044
1,1,2,2,38,3,2,,,1,0,0.3075,0.55,231.884,351.884,111.884
1,1,2,2,39,3,3,,,3,1,0.5847,0.55,92.565,212.565,332.565
1,1,2,2,40,3,1,,,1,1,0.3863,0.55,68.544,188.544,308.544
1,1,2,2,41,3,3,,,1,0,0.4347,0.55,212.816,332.816,92.816
1,1,2,2,42,3,1,,,2,0,0.6272,0.55,162.915,282.915,42.915
1,1,2,2,43,3,3,,,2,0,0.4916,0.55,12.707,132.707,252.707
1,1,2,2,44,3,3,,,2,0,0.5534,0.55,155.163,275.163,35.163
1,1,2,2,45,3,3,,,3,1,0.4526,0.55,136.838,256.838,16.838
1,1,2,2,46,3,1,,,2,0,0.4677,0.55,205.594,325.594,85.594
1,1,2,2,47,3,1,,,1,1,0.4013,0.55,126.88,246.88,6.88
1,1,2,2,48,3,2,,,1,0,0.4842,0.55,334.045,94.045,214.045
