subject,run,block,condition,trial_in_block,dominant_color,alternative_color,response,correct,confidence,rt_choice,rt_confidence
1,3,3,1,6,3,,3,1,4,1.1042,1.4182
1,3,3,1,7,2,,3,0,1,0.9193,2.1511
1,3,3,1,8,1,,1,1,2,1.8563,2.2891
1,3,3,1,9,1,,1,1,1,0.9803,1.3017
1,3,3,1,10,4,,2,0,1,1.5849,2.6727
1,3,3,1,11,1,,1,1,1,1.7644,2.0858
1,3,3,1,12,3,,3,1,2,1.1848,1.5686
1,3,3,1,13,1,,1,1,1,1.2977,2.3379
1,3,3,1,14,1,,1,1,1,1.0598,1.3682
1,3,3,1,15,3,,3,1,2,2.0453,2.3694
1,3,3,1,16,2,,2,1,4,1.4853,1.8019
1,3,3,1,17,1,,1,1,2,1.5088,2.1168
1,3,3,1,18,1,,1,1,3,1.5358,1.8521
1,3,3,1,19,1,,1,1,3,0.9338,1.2539
1,3,3,1,20,3,,3,1,3,1.3959,1.7315
1,3,3,1,21,4,,3,0,3,1.4553,1.7686
1,3,3,1,22,2,,2,1,3,1.2081,1.5182
1,3,3,1,23,3,,3,1,4,1.2106,1.5186
1,3,3,1,24,2,,2,1,3,1.3264,1.6352
1,3,3,1,25,3,,2,0,1,2.4921,2.8762
1,3,3,1,26,4,,4,1,2,1.4807,1.8023
1,3,3,1,27,1,,1,1,1,2.4482,2.8163
1,3,3,1,28,3,,3,1,3,1.2309,4.3829
1,3,3,1,29,2,,2,1,2,1.3571,1.8208
1,3,3,1,30,1,,1,1,2,1.4278,1.7352
1,3,3,1,31,1,,2,0,2,1.3417,1.6517
1,3,3,1,32,4,,1,0,1,2.8114,3.12
1,3,3,1,33,1,,1,1,1,0.9257,1.2345
1,3,3,1,34,2,,2,1,3,1.5803,1.9321
1,3,3,1,35,2,,2,1,3,1.087,1.439
1,4,1,2,1,3,1,3,1,4,1.7432,2.5596
1,4,1,2,2,2,1,2,1,1,1.4163,1.7363
1,4,1,2,3,2,3,2,1,4,0.7868,1.5069
1,4,1,2,4,3,1,3,1,1,1.7348,2.0524
1,4,1,2,5,4,3,4,1,1,2.2756,2.723
1,4,1,2,6,4,3,3,0,1,3.3493,3.671
1,4,1,2,7,2,4,2,1,3,1.423,1.7352
