subject,session,run,block,trial_in_block,dominant_symbol,response1,correct1,response2,correct2,rt1,rt2
1,1,2,1,41,6,2,0,5,0,0.4353,0.6124
1,1,2,1,42,4,5,0,,,0.213,0.0
1,1,2,1,43,1,6,0,,,0.7413,0.0
1,1,2,1,44,4,1,0,4,1,0.4966,0.3514
1,1,2,1,45,6,2,0,,,0.3833,0.0
1,1,2,1,46,2,2,1,,,0.4089,0.0
1,1,2,1,47,6,1,0,3,0,0.5027,0.8692
1,1,2,1,48,4,4,1,,,1.2119,0.0
1,1,2,1,49,5,4,0,1,0,0.4559,0.5842
1,1,2,1,50,1,4,0,,,1.0342,0.0
1,1,2,2,1,4,4,1,,,0.8549,0.0
1,1,2,2,2,1,6,0,,,1.6502,0.0
1,1,2,2,3,5,6,0,,,0.184,0.0
1,1,2,2,4,3,3,1,,,0.7938,0.0
1,1,2,2,5,2,2,1,,,0.616,0.0
1,1,2,2,6,4,3,0,4,1,0.8134,0.4952
1,1,2,2,7,6,6,1,,,0.2971,0.0
1,1,2,2,8,4,2,0,5,0,0.7625,0.7831
1,1,2,2,9,4,4,1,,,0.7603,0.0
1,1,2,2,10,2,3,0,,,0.4875,0.0
1,1,2,2,11,1,4,0,3,0,0.3656,1.0104
1,1,2,2,12,2,2,1,,,0.3701,0.0
1,1,2,2,13,2,2,1,,,0.2095,0.0
1,1,2,2,14,1,4,0,,,1.5431,0.0
1,1,2,2,15,5,2,0,,,0.2416,0.0
1,1,2,2,16,3,3,1,,,0.5619,0.0
1,1,2,2,17,4,3,0,,,0.3933,0.0
1,1,2,2,18,5,2,0,,,0.5785,0.0
1,1,2,2,19,4,4,1,,,0.5799,0.0
1,1,2,2,20,3,3,1,,,0.6022,0.0
1,1,2,2,21,4,4,1,,,0.5759,0.0
1,1,2,2,22,2,2,1,,,0.4067,0.0
1,1,2,2,23,6,6,1,,,0.2761,0.0
1,1,2,2,24,3,3,1,,,0.3435,0.0
1,1,2,2,25,6,6,1,,,0.2797,0.0
1,1,2,2,26,1,1,1,,,0.9543,0.0
1,1,2,2,27,5,1,0,4,0,0.5453,1.1987
1,1,2,2,28,5,3,0,,,0.3588,0.0
1,1,2,2,29,1,1,1,,,0.4182,0.0
1,1,2,2,30,2,2,1,,,0.3035,0.0
1,1,2,2,31,5,4,0,6,0,0.9129,0.719
1,1,2,2,32,1,2,0,,,1.4193,0.0
1,1,2,2,33,6,2,0,4,0,0.6669,0.7552
1,1,2,2,34,3,1,0,4,0,0.4138,0.912
1,1,2,2,35,6,6,1,,,0.2287,0.0
1,1,2,2,36,6,6,1,,,0.4574,0.0
1,1,2,2,37,5,5,1,,,0.2765,0.0
1,1,2,2,38,6,5,0,6,1,0.2801,0.3842
1,1,2,2,39,2,1,0,6,0,0.5102,0.397
